time	V(vtag)
3.654419435001136e+001	2.973622e+000
3.664185060001136e+001	2.973960e+000
3.673950685001136e+001	2.974252e+000
3.683716310001136e+001	2.974504e+000
3.693481935001136e+001	2.974720e+000
3.703247560001136e+001	2.974907e+000
3.713013185001136e+001	2.975068e+000
3.722778810001136e+001	2.975207e+000
3.732544435001136e+001	2.975327e+000
3.742310060001136e+001	2.975430e+000
3.752075685001136e+001	2.975518e+000
3.761841310001136e+001	2.975595e+000
3.771606935001136e+001	2.975661e+000
3.781372560001136e+001	2.975718e+000
3.791138185001136e+001	2.975767e+000
3.800903810001136e+001	2.975809e+000
3.820435060001136e+001	2.975877e+000
3.839966310001136e+001	2.975927e+000
3.859497560001136e+001	2.975965e+000
3.888794435001136e+001	2.976003e+000
3.918091310001136e+001	2.976028e+000
3.941807827858279e+001	2.976040e+000
3.965524345715421e+001	2.976049e+000
3.989240863572564e+001	2.976057e+000
4.012957381429708e+001	2.976063e+000
4.036673899286851e+001	2.976067e+000
4.060390417143993e+001	2.976069e+000
4.084106935001136e+001	2.976069e+000
4.100000000000000e+001	2.976070e+000
4.100008000000000e+001	2.975323e+000
4.100024000000000e+001	2.972619e+000
4.100048000000000e+001	2.965050e+000
4.100080000000000e+001	2.950597e+000
4.100194285714286e+001	2.881459e+000
4.100308571428571e+001	2.812434e+000
4.100422857142857e+001	2.743522e+000
4.100537142857143e+001	2.674723e+000
4.100651428571429e+001	2.606037e+000
4.100765714285714e+001	2.537464e+000
4.100880000000000e+001	2.469003e+000
4.100902080000000e+001	2.458943e+000
4.100931519999999e+001	2.450678e+000
4.100960000000000e+001	2.446601e+000
4.106811347857201e+001	2.490308e+000
4.112662695714403e+001	2.531067e+000
4.118514043571604e+001	2.568876e+000
4.124365391428805e+001	2.603737e+000
4.130216739286006e+001	2.635649e+000
4.136068087143207e+001	2.664612e+000
4.141919435000408e+001	2.690626e+000
4.151685060000408e+001	2.730062e+000
4.161450685000408e+001	2.764050e+000
4.171216310000408e+001	2.793342e+000
4.180981935000408e+001	2.818588e+000
4.190747560000408e+001	2.840345e+000
4.200513185000408e+001	2.859097e+000
4.210278810000408e+001	2.875257e+000
4.220044435000408e+001	2.889186e+000
4.229810060000408e+001	2.901190e+000
4.239575685000408e+001	2.911535e+000
4.249341310000408e+001	2.920451e+000
4.259106935000408e+001	2.928136e+000
4.268872560000408e+001	2.934758e+000
4.278638185000408e+001	2.940466e+000
4.288403810000408e+001	2.945385e+000
4.298169435000408e+001	2.949625e+000
4.307935060000408e+001	2.953279e+000
4.317700685000408e+001	2.956428e+000
4.327466310000408e+001	2.959142e+000
4.337231935000408e+001	2.961481e+000
4.346997560000408e+001	2.963497e+000
4.356763185000408e+001	2.965234e+000
4.366528810000408e+001	2.966732e+000
4.376294435000408e+001	2.968022e+000
4.386060060000408e+001	2.969134e+000
4.395825685000408e+001	2.970093e+000
4.405591310000408e+001	2.970919e+000
4.415356935000408e+001	2.971631e+000
4.425122560000408e+001	2.972245e+000
4.434888185000408e+001	2.972773e+000
4.444653810000408e+001	2.973229e+000
4.454419435000408e+001	2.973622e+000
4.464185060000408e+001	2.973960e+000
4.473950685000408e+001	2.974252e+000
4.483716310000408e+001	2.974504e+000
4.493481935000408e+001	2.974720e+000
4.503247560000408e+001	2.974907e+000
4.513013185000408e+001	2.975068e+000
4.522778810000408e+001	2.975207e+000
4.532544435000408e+001	2.975327e+000
4.542310060000408e+001	2.975430e+000
4.552075685000408e+001	2.975518e+000
4.561841310000408e+001	2.975595e+000
4.571606935000408e+001	2.975661e+000
4.581372560000408e+001	2.975718e+000
4.591138185000408e+001	2.975767e+000
4.600903810000408e+001	2.975809e+000
4.620435060000408e+001	2.975877e+000
4.639966310000408e+001	2.975927e+000
4.659497560000408e+001	2.975965e+000
4.688794435000408e+001	2.976003e+000
4.718091310000408e+001	2.976028e+000
4.741807827857551e+001	2.976040e+000
4.765524345714694e+001	2.976049e+000
4.789240863571837e+001	2.976057e+000
4.812957381428980e+001	2.976063e+000
4.836673899286123e+001	2.976067e+000
4.860390417143265e+001	2.976069e+000
4.884106935000408e+001	2.976069e+000
4.900000000000000e+001	2.976070e+000
4.900008000000000e+001	2.975323e+000
4.900024000000000e+001	2.972619e+000
4.900048000000000e+001	2.965050e+000
4.900080000000000e+001	2.950597e+000
4.900183771428571e+001	2.887815e+000
4.900287542857144e+001	2.825126e+000
4.900391314285715e+001	2.762531e+000
4.900495085714287e+001	2.700028e+000
4.900598857142858e+001	2.637619e+000
4.900702628571430e+001	2.575302e+000
4.900806400000002e+001	2.513079e+000
4.900880000000000e+001	2.469003e+000
4.900902080000000e+001	2.458943e+000
4.900931519999999e+001	2.450678e+000
4.900960000000000e+001	2.446601e+000
4.906811347857201e+001	2.490308e+000
4.912662695714403e+001	2.531067e+000
4.918514043571604e+001	2.568876e+000
4.924365391428805e+001	2.603737e+000
4.930216739286006e+001	2.635649e+000
4.936068087143207e+001	2.664612e+000
